"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R018","F","fishing",44,15,15
"R018","F","fishing",24,27,31
"R016","F","fishing",38,13,28
"R015","M","fishing",34,7,29
"R015","M","fishing",26,2,26
"R018","M","fishing",31,38,41
"R016","F","fishing",39,19,24
"R018","M","fishing",30,42,54
"R015","F","fishing",20,7,26
"R015","F","fishing",24,4,24
"R017","F","fishing",28,37,47
"R015","M","fishing",25,5,40
"R015S","M","fishing",25,1,43
"R016","M","fishing",26,12,42
"R018","M","fishing",39,28,31
"R017","F","fishing",40,21,24
"R018","F","fishing",42,26,27
"R015S","M","fishing",34,7,25
"R015","M","inland",21,0,3
"R016","M","inland",23,1,6
"R016","F","fishing",27,19,44
"R017","F","fishing",29,36,51
"R015","M","fishing",28,10,40
"R017","M","fishing",31,24,39
"R018","M","fishing",33,32,39
"R018","F","fishing",39,28,29
"R015","M","fishing",38,10,31
"R015S","M","fishing",38,15,33
"R015","M","inland",37,10,33
"R016","M","inland",38,21,30
"R017","M","fishing",34,19,27
"R018","M","fishing",35,41,47
"R018","M","inland",43,14,18
"R018","F","inland",47,24,26
"R016","M","fishing",30,11,35
"R015","M","fishing",49,2,4
"R015","M","fishing",40,7,19
"R015","F","fishing",35,20,43
"R017","F","fishing",38,33,37
"R015","M","fishing",45,9,19
"R016","M","fishing",47,10,11
"R017","M","fishing",49,2,2
"R015S","M","fishing",39,5,22
"R016","M","fishing",40,15,28
"R017","M","fishing",41,17,30
"R018","M","fishing",43,32,34
"R017","F","fishing",27,31,36
"R015S","F","fishing",49,0,1
"R015S","F","fishing",38,13,25
"R018","M","fishing",36,26,30
"R015S","F","fishing",21,3,27
"R015","F","fishing",17,1,7
"R015S","F","fishing",17,0,4
"R016","F","fishing",19,8,19
"R017","F","fishing",20,9,12
"R018","F","fishing",22,25,31
"R015S","F","fishing",36,14,30
"R016","F","fishing",37,24,34
"R018","F","fishing",40,36,37
"R017","F","fishing",39,31,35
"R015S","F","fishing",19,0,11
"R017","F","fishing",22,23,39
"R015","F","fishing",18,1,12
"R016","F","fishing",20,6,24
