"ROUND","SEX","COMM","AGEYRS","COUNT","TOTAL_COUNT"
"R014","F","inland",29,33,196
"R018","F","inland",36,37,195
"R011","M","inland",37,16,90
"R014","M","inland",42,11,84
"R009","M","inland",20,1,130
"R015","F","fishing",30,56,101
"R017","M","inland",40,30,153
"R016","F","fishing",34,47,82
"R017","F","fishing",35,54,83
"R018","F","fishing",37,53,88
"R014","F","inland",45,15,62
"R016","F","inland",49,18,63
"R010","F","inland",21,21,190
"R013","F","inland",27,18,167
"R016","M","inland",43,16,100
"R010","M","inland",22,8,115
"R007","M","inland",17,0,148
"R008","M","inland",18,0,207
"R009","M","inland",19,0,148
"R010","M","inland",20,1,122
"R011","M","inland",22,5,135
"R012","M","inland",24,6,143
"R015","M","inland",29,25,194
"R016","M","inland",31,23,176
"R018","F","inland",37,61,269
"R006","F","inland",16,1,187
"R010","F","inland",20,16,214
"R012","F","inland",24,37,232
"R013","F","inland",26,25,196
"R014","F","inland",28,29,221
"R015","F","inland",29,58,283
"R016","F","inland",31,53,269
"R017","F","inland",33,42,259
"R008","F","inland",17,5,191
"R008","F","inland",18,13,279
"R018","F","inland",34,46,249
"R013","F","inland",24,29,214
"R014","F","inland",25,39,219
"R015","F","inland",27,50,296
"R016","F","inland",29,52,282
"R017","F","inland",30,50,261
"R018","F","inland",32,56,250
"R009","F","inland",19,18,208
"R011","F","inland",22,25,219
"R013","F","inland",25,33,215
"R014","F","inland",27,49,219
"R015","F","inland",28,67,323
"R016","F","inland",30,50,280
"R017","F","inland",32,57,277
"R018","F","inland",33,57,282
"R017","M","inland",34,28,156
"R014","M","inland",49,5,30
"R015","F","fishing",39,28,48
"R015S","F","fishing",40,19,49
"R016","F","fishing",42,14,30
"R017","F","fishing",43,16,38
"R018","M","inland",34,18,153
"R012","M","inland",48,5,37
"R007","F","inland",16,3,179
"R014","F","inland",26,31,220
"R017","F","inland",17,4,268
"R018","F","inland",19,4,311
"R018","F","inland",18,14,365
"R015","M","inland",16,1,284
"R017","M","inland",20,1,288
"R018","M","inland",22,3,232
"R018","M","inland",16,1,330
"R017","F","inland",15,5,305
"R018","F","inland",17,9,311
"R016","F","inland",15,2,301
"R017","M","inland",15,1,266
"R016","F","inland",17,7,273
"R006","F","inland",15,4,169
"R010","F","inland",37,13,57
"R011","F","inland",21,21,207
"R012","F","inland",22,27,214
"R017","F","inland",31,56,288
"R006","M","inland",15,0,104
"R008","M","inland",16,0,147
"R009","M","inland",17,0,110
"R010","M","inland",18,0,134
"R012","M","inland",22,7,133
"R013","M","inland",24,7,124
"R014","M","inland",25,15,142
"R015","M","inland",27,28,222
"R007","M","inland",16,0,133
"R008","M","inland",17,3,163
"R010","M","inland",19,1,134
"R011","M","inland",21,3,125
"R014","M","inland",26,10,150
"R016","M","inland",30,20,189
"R017","M","inland",31,27,178
"R018","M","inland",33,22,171
"R006","M","inland",16,1,143
"R015","M","inland",28,19,194
"R017","M","inland",32,18,172
"R008","F","inland",16,7,172
"R009","F","inland",18,5,185
"R009","M","inland",18,1,148
"R012","M","inland",23,5,121
"R010","F","inland",19,12,193
"R011","F","inland",18,5,172
"R009","M","inland",45,5,35
"R010","M","inland",46,5,36
"R015","F","fishing",40,16,43
"R015S","F","fishing",41,8,16
"R017","F","fishing",44,6,17
